Time,aMag,gMag,ang,bpm,but
190729,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
191871,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
193012,1.0050373127401788,0.6609841147864296,264.250957109195,85.59,0
194154,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
195295,1.0050373127401788,0.7217340230306453,264.250957109195,76.82,0
196437,1.0050373127401788,0.7340980860893183,264.250957109195,80.97,0
197578,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
198720,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
199861,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
201003,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
202205,1.0050373127401788,0.6664082832618454,264.250957109195,78.84,0
203346,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
204468,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
205609,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
206751,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
207892,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
209034,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
210176,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
211317,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
212459,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
213600,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
214742,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
215883,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
217025,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
218166,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
219288,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
220430,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
221571,1.0050373127401788,0.7040596565632774,264.250957109195,85.59,0
222713,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
223854,1.0050373127401788,0.7217340230306453,264.250957109195,88.11,0
225016,1.0050373127401788,0.7479304780526063,264.250957109195,80.97,0
226138,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
227279,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
228421,1.0050373127401788,1.0195096860746347,264.250957109195,78.84,0
229562,1.0050373127401788,0.7527283706623525,264.250957109195,39.42,0
230704,1.0050373127401788,0.6360031446463138,264.250957109195,39.42,0
231845,1.0050373127401788,0.7142128534267639,264.250957109195,74.91,0
232987,0.9941327879111522,4.706771717430111,264.45229437410086,74.91,0
234189,1.0050373127401788,0.8162107570964745,264.250957109195,27.24,1
235391,1.0040916292848974,0.7778817390837761,264.2684187877412,88.11,0
236533,1.0040916292848974,0.6797793759742936,264.2684187877412,88.11,0
237735,1.0040916292848974,0.6980687645210892,264.2684187877412,20.52,0
238916,1.0040916292848974,0.7217340230306453,264.2684187877412,20.52,0
240058,1.0040916292848974,0.7116881339463235,264.2684187877412,29.66,0
241199,1.0040916292848974,0.6664082832618454,264.2684187877412,40.49,2
242400,1.0040916292848974,0.7217340230306453,264.2684187877412,78.84,0
243602,1.0040916292848974,0.7167286794875729,264.2684187877412,78.84,0
244743,0.9941327879111522,0.8257723657279893,264.45229437410086,28.0,0
245885,1.0050373127401788,2.049658508142271,264.250957109195,35.23,0
247006,1.0153817016275208,10.20479299153099,264.0599405367469,35.23,0
248148,0.9980480950335009,1.3949193525075205,264.38000619266774,35.23,0
249289,1.0088607436113273,1.568247429457482,264.1803571575663,35.23,0
250431,1.0079682534683323,0.9348261870529729,264.19683731422754,35.23,0
251572,1.007620960480676,1.2672410978184065,264.2032501639912,35.23,0
252774,1.005186549850325,0.7217340230306453,264.24820148783544,35.23,0
253916,1.0050373127401788,0.7217340230306453,264.250957109195,35.23,0
255057,1.0050373127401788,0.7217340230306453,264.250957109195,35.23,0
256199,1.0050373127401788,0.6664082832618454,264.250957109195,35.23,0
257340,1.0050373127401788,0.7479304780526063,264.250957109195,35.23,0
258482,1.0050373127401788,0.7598684096605149,264.250957109195,4.83,0
259623,1.0050373127401788,0.7167286794875729,264.250957109195,83.22,0
